Unnamed: 0,adverse weather,capsized,coastal isolation,collision,discharge of contaminated water,disruption,drifting,drunken driving,engine damage,engine failure,exceeding capacity,explosion,fire,flooding,inspection,maritime safety threat,mechanical defects,minor contact,missing,nuclear,nuclear power plants,oil spill,overloading,overturning,prevention,radiation,rescue,safety measures,search and rescue operations,seizure,steering system damage,stranded,violating crew standards,war,injured,deaths,Overall Severity,Severity Level
Article 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002748063,0,0,0,0.006051859,0.005977914,0,0,0,0,0,0,0.004865643,0,0,0,0,0,0,,,0.036189621,low
Article 2,0.00838922,0,0,0,0,0,0.023824961,0.0162326,0,0,0,0,0,0.025879272,0,0.048848227,0,0,0,0,0,0.127069287,0,0,0,0,0,0.0108877,0,0,0,0,0,0,,,0.854495767,high
Article 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001248296,0,0,0,0,0.015035232,0,0,0,0,0,0,0.001235092,0,0,0,0,0,0,,,0.030025378,low
Article 4,0,0,0,0.013625362,0,0,0,0,0,0,0,0,0,0,0,0.006733743,0,0,0,0,0,0,0,0,0.004449683,0,0.003512609,0.004782719,0.004233462,0,0,0,0,0,,,0.058696739,low
Article 5,0,0,0,0.065781131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011707242,0,0,0,0,0,2.8,,2.877488373,high
Article 6,0,0,0,0,0.149611605,0,0,0,0,0,0.015535867,0,0,0,0,0.004323731,0,0,0.010368813,0.190436722,0.261835712,0,0,0,0.00663351,0,0,0.004277997,0,0,0,0,0.022161253,0,,,0.797255599,medium
Article 7,0,0,0,0.015288315,0,0,0,0,0.042680185,0.034329212,0,0,0,0,0,0,0,0,0,0,0.017420714,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.124848667,low
Article 8,0,0.068260328,0,0.038920545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039735222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014818989,0,,,0.161735083,medium
Article 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007067459,0,0,0,0,0,0,0,0,0,0,0,0.011237018,0,0,0,0,0,0,,,0.043003735,low
Article 10,0,0,0,0,0,0,0,0.025672799,0,0,0,0,0,0,0.016667952,0.034504385,0,0,0,0,0,0,0,0,0,0,0,0.030814348,0.01091334,0,0,0,0,0,,,0.347681265,medium
Article 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030400108,0.011903199,0,0.024302,0,0,0,0,0,0,0,0,0,0.024174855,0,0,0,0,0,0,,,0.24124017,medium
Article 12,0,0,0.008470595,0,0,0,0,0,0.045955824,0,0,0,0,0.037560487,0.015295943,0.019963816,0,0,0,0,0.016030416,0,0,0,0,0,0,0.107083055,0,0,0.038576838,0,0,0,,,0.405982307,medium
Article 13,0,0,0.006332214,0,0.085625502,0,0,0,0,0,0,0,0,0,0,0.064617053,0,0,0,0.131464123,0.069939951,0,0,0,0,0,0,0.008859684,0,0,0,0,0,0,,,0.441377977,medium
Article 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322809,0,0,0,0,0,0,0,0,0,0,0,0.013280424,0.017289085,0,0,0,0,0,,1,1.088652702,high
Article 15,0,0,0,0,0.006283442,0,0,0,0,0,0,0,0,0,0.049160552,0.027963713,0,0.047159031,0,0,0,0,0.034564749,0,0,0,0,0.020716172,0,0,0,0,0.018138194,0,,,0.303903401,medium
Article 16,0.015330042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005027084,0,0,0,0,0,0.075200766,0,0,0,0,0,0.036389127,0,0,0,0,0,0,,,0.677137767,medium
Article 17,0,0,0,0,0.008239687,0,0,0,0,0,0,0,0,0,0,0.006613986,0,0,0,0,0.013220881,0,0,0,0,0,0,0.005258006,0.004220903,0,0,0,0,0.024838793,,,0.081618907,low
Article 18,0,0,0,0.044589406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045522742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.121305692,low
